year,stamp,gas,eggs,milk
1968,0.06,0.34,0.53,1.07
1969,0.06,0.35,0.62,1.10
1970,0.06,0.36,0.62,1.15
1971,0.08,0.36,0.53,1.18
1972,0.08,0.36,0.52,1.20
1973,0.08,0.39,0.78,1.31
1974,0.10,0.53,0.78,1.57
1975,0.10,0.57,0.77,1.57
1976,0.13,0.61,0.84,1.65
1977,0.13,0.66,0.82,1.68
1978,0.15,0.67,0.82,1.71
1979,0.15,0.90,0.85,1.62
1980,0.15,1.25,0.84,2.16
1981,0.18,1.38,0.90,2.22
1982,0.20,1.30,0.87,2.24
1983,0.20,1.24,0.89,2.24
1984,0.20,1.21,1.00,2.26
1985,0.22,1.20,0.80,2.26
1986,0.22,0.93,0.87,2.22
1987,0.22,0.95,0.78,2.28
1988,0.25,0.95,0.79,2.30
1989,0.25,1.02,1.00,2.34
1990,0.25,1.16,1.01,2.78
1991,0.29,1.14,0.99,2.80
1992,0.29,1.13,0.86,2.78
1993,0.29,1.11,0.91,2.86
1994,0.29,1.11,0.86,2.88
1995,0.32,1.15,0.92,2.96
1996,0.32,1.23,1.11,2.62
1997,0.32,1.23,1.06,2.61
1998,0.32,1.06,1.04,2.70
1999,0.33,1.17,0.96,2.84
2000,0.33,1.51,0.91,2.78
2001,0.34,1.46,0.93,2.88
2002,0.37,1.36,1.03,2.76
2003,0.37,1.59,1.24,2.76
2004,0.37,1.88,1.34,3.16
2005,0.37,2.30,1.22,3.19
2006,0.39,2.59,1.31,3.08
2007,0.41,2.80,1.68,3.50
2008,0.42,3.27,1.99,3.80
2009,0.44,2.35,1.66,3.11
2010,0.44,2.79,1.66,3.26
2011,0.44,3.53,1.77,3.57
2012,0.45,3.64,1.84,3.49
2013,0.46,3.53,1.91,3.46
2014,0.49,3.37,2.02,3.69
2015,0.49,2.45,2.47,3.42
2016,0.49,2.14,1.68,3.20
2017,0.49,2.41,1.47,3.23
2018,0.50,2.74,1.74,2.90
