year,date,headline,link
1968,April 4,Assassination of Dr. Martin Luther King Jr.,https://www.history.com/this-day-in-history/dr-king-is-assassinated
1969,July 20,The Moon Landing,https://www.nasa.gov/mission_pages/apollo/apollo11.html
1972,May 28 & Jun 17,Watergate Break-in,https://www.washingtonpost.com/wp-srv/politics/special/watergate/part1.html
1975,April 30,End of the Vietnam War,https://www.usnews.com/news/articles/2015/04/30/from-the-archives-the-end-in-vietnam
1977,May 25,First Star Wars Movie Released,https://www.businessinsider.com/original-star-wars-movie-reviews-2015-12
1989,November 9,Fall of the Berlin Wall,https://www.bbc.com/news/world-europe-50013048
1990,April 24,Launch of Hubble Telescope,https://www.nasa.gov/mission_pages/hubble/story/index.html
1997,August 31,Princess Diana's death,http://www.cnn.com/WORLD/9708/30/diana.dead/
2001,September 11,World Trade Center Towers Collapse,https://www.businessinsider.com/september-11-911-newspaper-headlines-2018-9
2004,August 19,Google Goes Public,https://www.nytimes.com/2004/08/20/opinion/google-goes-public.html
2007,December,The Great Recession/Housing Bubble Burst,https://money.cnn.com/2008/12/01/news/economy/recession/
2009,July 24,Federal Minimum Wage Mandated,https://www.theguardian.com/us-news/2019/jun/16/federal-minimum-wage-record-no-increase-since-2009

